OSOURCE,STATE,ZIP,MAILCODE,NOEXCH,MDMAUD,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
GRI,IL,61081,A,0,XXXX,36,,U,F,0,L,E,C,T,2
BOA,CA,91326,A,0,XXXX,14,E,H,M,3,L,G,A,S,1
AMH,NC,27017,A,0,XXXX,43,,U,M,3,L,E,C,R,2
BRY,CA,95953,A,0,XXXX,44,E,U,F,3,L,E,C,R,2
,FL,33176,A,0,XXXX,16,E,H,F,3,L,F,A,S,2
CWR,other,35603,A,0,XXXX,40,,U,F,0,L,F,C,T,2
DRK,IN,46755,A,0,XXXX,40,E,H,F,3,L,E,D,T,2
NWN,other,70611,A,0,XXXX,39,,U,F,1,L,E,C,T,2
LIS,other,51033,A,0,XXXX,45,,U,M,3,L,F,D,R,2
MSD,other,37127-,A,0,XXXX,35,I,U,M,0,L,F,B,T,1
AGR,other,67335,A,0,XXXX,53,,U,F,1,L,F,D,R,3
CSM,IN,46220,A,0,XXXX,17,E,U,M,3,L,F,B,S,2
ENQ,other,56475,A,0,XXXX,51,,H,F,3,L,D,D,R,3
HCC,other,70791,A,0,XXXX,40,,U,M,0,L,G,B,T,2
USB,other,84720,A,0,XXXX,35,E,H,M,3,L,F,D,T,1
FRC,CA,90056,A,0,XXXX,2,,H,M,1,L,F,A,U,1
RKB,MI,48067,A,0,XXXX,20,E,U,M,3,L,F,A,S,2
PCH,IL,62376,A,0,XXXX,43,E,U,F,2,L,G,C,R,2
AMB,FL,32810,B,0,XXXX,16,E,H,F,3,L,F,B,S,2
L15,NC,27850,A,0,XXXX,27,,U,M,0,L,F,C,C,2
BBK,other,55125,A,0,XXXX,12,E,H,F,3,L,D,A,S,1
L21,MI,49247,A,0,XXXX,43,E,U,M,3,L,G,C,R,2
SYN,FL,33983,A,0,XXXX,40,,U,F,0,L,G,C,T,2
L01,IL,60042,A,0,XXXX,22,,U,F,0,L,E,A,C,1
MOP,other,55044,A,0,XXXX,35,E,H,F,3,L,E,A,T,1
UCA,CA,93527-,A,0,XXXX,35,I,H,M,3,L,F,B,T,1
ESN,IL,60091,A,0,XXXX,13,E,H,F,2,L,G,A,S,1
L01,MO,64468,A,0,XXXX,35,E,H,M,3,L,E,D,T,1
IMP,TX,77381,A,0,XXXX,35,E,H,F,3,L,E,A,T,1
AVN,IL,62249,A,0,XXXX,40,E,U,F,3,L,E,A,T,2
SYN,TX,77546,A,0,XXXX,35,,U,M,0,L,D,A,T,1
RMG,MO,63031,A,0,XXXX,8,E,H,M,3,L,F,A,U,3
DNA,NC,27106,A,0,XXXX,25,E,U,F,3,L,G,B,C,2
L04,FL,33143,A,0,XXXX,15,E,U,F,3,L,F,A,S,1
AML,other,97008,A,0,XXXX,40,,U,F,0,L,F,B,R,2
,other,97708,A,0,XXXX,42,,U,M,0,L,F,C,R,1
AIR,TX,78748,A,0,XXXX,12,E,H,M,3,L,G,B,S,1
DUR,CA,90274,A,0,XXXX,11,,U,F,3,L,G,A,S,1
LHJ,other,55112,A,0,XXXX,17,E,H,F,2,L,F,A,S,2
WKB,other,55066-,A,0,XXXX,36,E,H,F,3,L,G,D,T,2
AGR,IL,61604,A,0,XXXX,28,I,U,F,0,L,G,B,C,2
STL,MI,49506,A,0,XXXX,2,,U,F,0,L,E,B,U,1
DCD,WA,98006,A,0,XXXX,14,E,H,M,3,L,F,A,S,1
AGR,FL,33332,A,0,XXXX,35,E,H,M,3,L,F,A,T,1
IMA,WI,53221,A,0,XXXX,18,E,H,F,3,L,F,B,S,2
DRK,other,52402,A,0,XXXX,24,E,H,F,3,L,D,C,C,1
GRI,other,36322,A,0,XXXX,40,,U,F,2,L,E,C,R,2
L01,IN,46350,A,0,XXXX,34,E,H,M,2,L,F,C,T,1
ACS,WA,98116,A,0,XXXX,5,I,U,M,0,L,F,A,U,2
ALZ,TX,75606,A,0,XXXX,31,E,H,M,2,L,F,C,C,3
DNA,IL,61273,A,0,XXXX,44,E,U,F,2,L,F,B,R,2
DRK,NC,27703,A,0,XXXX,32,E,H,F,3,L,F,B,C,3
NEX,NC,27105,A,0,XXXX,27,E,H,F,2,L,D,B,C,2
IMP,FL,33056,A,0,XXXX,18,E,H,F,3,L,E,A,S,2
AGR,IL,62959,A,0,XXXX,36,E,H,M,2,L,F,C,T,2
,CA,94014,A,0,XXXX,46,,U,F,0,L,G,A,R,2
HAR,CA,92801,A,0,XXXX,3,,U,F,2,L,E,A,U,1
SGI,other,36005,A,0,XXXX,50,E,H,F,2,L,F,D,R,3
MBC,TX,75217,A,0,XXXX,18,,U,M,0,L,F,A,S,2
BSH,IN,46987,A,0,XXXX,44,E,H,F,2,L,F,C,R,2
BOA,TX,77515,A,0,XXXX,40,E,H,M,3,L,F,A,T,2
NAD,GA,31322,A,0,XXXX,44,E,H,F,2,L,F,B,R,2
HOS,other,73456,A,0,XXXX,53,,H,M,2,L,F,D,R,3
GRI,TX,76028,A,0,XXXX,40,E,H,F,3,L,F,A,T,2
HHL,GA,31816,A,0,XXXX,46,E,H,M,3,L,F,D,R,2
GRT,NC,28105,A,0,XXXX,17,E,H,F,3,L,D,B,S,2
L01,FL,34231,A,0,XXXX,28,,U,M,3,L,G,B,C,2
GRI,IL,62022,A,0,XXXX,43,,U,F,0,L,E,A,R,2
L02,CA,92868,A,0,XXXX,7,,U,F,0,L,G,A,U,2
APP,IN,47635,A,0,XXXX,45,E,U,M,2,L,G,D,R,2
IMP,CA,95966,A,0,XXXX,37,E,H,F,2,L,D,C,T,2
DAC,other,29020,A,0,XXXX,40,E,H,Other,3,L,G,D,T,2
NWN,other,40222,A,0,XXXX,14,,U,F,2,L,F,B,S,1
BRY,NC,28713,A,0,XXXX,53,,U,F,0,L,F,D,R,3
APP,CA,92163,A,0,XXXX,10,E,H,M,2,L,E,A,U,4
BHG,MI,48302,A,0,XXXX,24,E,H,F,3,L,F,A,C,1
AIR,other,21045,A,0,XXXX,38,,U,F,0,L,G,A,T,2
IMP,IL,60406,A,0,XXXX,21,E,H,M,2,L,E,A,S,3
BHG,CA,92625,A,0,XXXX,13,E,H,F,2,L,F,A,S,1
AMB,FL,33319,A,0,XXXX,9,E,H,F,3,L,F,A,U,3
